,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Power Industry,Austria,7.9167156,10.3671278,10.58554096,10.82390549,9.38089095,9.2013496,11.87710731,9.60163919,10.054116,10.4226343,9.358395993,10.4548112,9.36324458,9.351212437,10.310165057,10.517363237,10.136771902,10.617289728,9.80566768065,10.82750941452,14.35137986704,15.3536822107,12.3850322395,12.1869503621,13.1251569689,14.4820935667,15.91216432747,16.00885215284,14.73797312859,14.47327153267,13.4755570745,15.1948412419,14.98631954355,17.40833104424,17.9689935084,18.50408426857,17.54001434277,16.4974432039,15.8617798346,14.44297338874,17.16372430686,16.9436649652,15.12224111986,14.43097851484,12.60609359324,13.59781930376,13.20450007256,14.57786637674,13.59350424137,13.92162465506,12.43063242919
11,Power Industry,Azerbaijan,5.8508,5.8508,6.33273,7.2959,8.29175,9.05057,9.69178,10.15836,10.67861,11.24547,11.66746,12.40702,12.88295,13.24261,13.32596,13.58128,13.67286,13.85785,13.46748,12.90244,19.82704,20.61472,21.89399,21.492126,16.086316,15.150447,14.134337,13.6491456,14.7450023,14.7028343,15.3256155,13.8182743,12.647112,14.2551768,13.306628,13.946889,14.362325,12.47872006,11.68987574,9.45769013,8.3588382,9.62472483,11.75703461,11.65952488,12.25217732,12.46689212,12.43029465,12.29365865,12.684231459,13.735506298,13.743626335
12,Power Industry,Bahamas,1.28257359,1.28257359,1.26229547,1.42272322,1.2671647,1.5768686,1.6896613,1.7470215,2.0814065,1.8099473,1.809675,1.7467188,1.4809201,1.1312476,1.1215925,1.01363385,1.00444327,1.15691876,1.08129496,1.02487359,1.10935122,1.1177041,1.015226622,0.856406485,0.94872664,1.26018183,1.42227598,1.25762464,1.44620069,1.099397303,1.3092992,1.3457525,1.3865193,1.0744304,1.211666,1.1581724,1.300284,1.4735997,1.4860879,1.2016473,1.466451857,1.38873939,1.579288375,1.498737182,1.443383209,1.3803267,1.3884219,0.846513126177,0.822059802953,0.802397376762,0.693777267173
13,Power Industry,Bahrain,0.304286,0.304286,0.31444,0.353991,0.406781,0.711965,0.962115,1.205421,1.325644,1.763788,2.012472,2.175614,2.320575,2.78127,5.293202,5.804612,6.110351,5.88982,6.27248,6.399152,6.749116,6.340645,8.163005,8.921579,9.171505,9.267601,9.735197,9.91269,10.826283,11.036953,11.364351,11.824079,12.378794,13.011775,12.674808,14.97398,16.6967106,16.4367026,17.569209997,17.794869,17.979067,18.361998,18.804907,19.695390411,20.555580411,20.44451542,20.088771004,20.392071002,20.560595691,21.858498286,22.313851298
14,Power Industry,Bangladesh,0.67391614,0.67391614,0.67391643,1.03933412,1.0261583,0.8896417,0.9345803,1.02632728,1.25078008,1.38932929,1.5490239,1.463881,1.7885003,1.8040565,1.9452036,2.8424517,3.2948429,3.5435324,4.0617774,4.0565892,4.3139446,4.47047933,5.0631471,5.6257831,5.9279906,6.5378233,6.5479737,6.9691835,7.6282884,8.615764,8.810977,10.52731,11.319792,11.369814,13.4640355,14.6672902,16.8818922,17.9613874,19.6604167,21.3161448,24.1228144,25.1497246,28.1148266,30.92768,32.7704944,33.4833186,36.1390242,36.9048834,37.8201834,42.5423259,41.5973187
15,Power Industry,Barbados,0.30169559,0.30169559,0.2969268,0.33466366,0.2980738,0.3709553,0.3974898,0.4109834,0.4896487,0.4257869,0.4257237,0.4145081,0.4135229,0.4390517,0.4670565,0.53158482,0.549756742,0.539464322,0.492794561,0.444740207,0.475199015,0.547197504,0.604202305,0.470367033,0.443563198,0.512255029,0.457568562,0.510172439,0.532427275,0.475202408,0.5705727,0.5820686,0.5847929,0.6503953,0.664721,0.6726169,0.6513837,0.6220254,0.7506294,0.7648816,0.82662523,0.926935466,0.860765946,0.8913244167,0.7549318737,0.8041102982,0.789180091,0.4976747946,0.4833065057,0.4805435883,0.4189375708
16,Power Industry,Belarus,26.1949948,26.1949948,29.0835913,32.5729102,33.6187936,38.7892184,37.548408,40.3033386,39.976306,43.58621,42.600046,47.079552,46.216765,46.869532,45.345118,45.356754,45.122027,43.664313,42.3600956,38.8391046,57.45064,54.152837,51.357354,44.0324185,40.2523036,34.5686604,34.6200886,35.6231441,33.8834407,33.3592442,31.9840964,32.120151,31.6948106,31.605023,33.7034395,33.1032618,33.5877854,31.5888942,32.6946951,31.3117684,33.0567767,30.2673062,29.7473314,29.2358716,29.3263249,27.5885289,27.5801787,28.0412324,29.77785852,29.55852717,27.5997025
17,Power Industry,Belgium,27.065583,29.3009657,32.5806709,35.6215333,39.0674519,28.90960026,31.85916689,30.57075055,32.55993184,34.65223597,34.83275989,33.11983518,30.99878382,26.748354145,25.63324179,21.945116005,19.55961087,20.628895396,22.370905626,23.864742579,25.8964762,26.0201672682,25.28796410344,25.7946374116,27.805496094,28.10321755,27.30245539,25.937139203,27.889244429,25.2270314853,26.072789106,24.034045575,24.116604149,25.160141911,24.837349089,25.395977239,24.804735897,24.260411362,23.088085036,21.223054256,23.030395063,19.711701859,19.6728400435,17.6297160225,16.4237716969,17.294038849,16.0382438011,15.939332999,16.229628285,16.5283938357,15.4623454937
18,Power Industry,Belize,0.06754579,0.06754579,0.0664779,0.07492676,0.06673452,0.08305207,0.08899261,0.09201371,0.10962555,0.09532797,0.0953137,0.08327407,0.07643846,0.07682904,0.09121586,0.09343628,0.11477209,0.09457144,0.06967359,0.087786277,0.121103154,0.157501601,0.139632218,0.111267698,0.10536357,0.135634745,0.112590931,0.170873702,0.170487484,0.151818369,0.16574155,0.17444477,0.16537004,0.18594887,0.17582593,0.18823409,0.19131513,0.17287423,0.16229429,0.19346778,0.247944059,0.214918084,0.231406901,0.257661349,0.245391315,0.28489477,0.27080297,0.16285523,0.15815117,0.17073818,0.14802269
19,Power Industry,Benin,,,,0.022362,0.0064467,0.0064467,0.0064467,0.012729,0.012729,0.012729,0.0159153,0.0126387,0.022362,0.0575433,0.037755,0.0286314,0.0286314,0.025371,0.0221976,0.0221976,0.025458,0.025458,0.0286314,0.0318177,0.034659,0.0317274,0.0348234,0.04746212,0.05417967,0.047910312,0.05100631,0.0637224,0.070095,0.0607296,0.0606264,0.0767223,0.10855286,0.1471755,0.157076102,0.0930696,0.0834366,0.0738036,0.03208527,0.0641706,0.1733199,0.3168748,0.1883708,0.2033274,0.1793782,0.1822523,0.1682658
