,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Afghanistan,0.154430170446068,0.150334344129342,0.146086248347111,0.142232078426645,0.176119836976018,0.160542008689229,0.144445863834957,0.171883255534724,0.142734031750229,0.155565914464142,0.148782410993026,0.178568084012563,0.179952367344858,0.245706756628704,0.264640784753177,0.350200864380888,0.23055564847858,0.244712362207463,0.264390360370508,0.239395388788887,0.231451321076651,0.20768019394014,0.125054077318113,0.107647998237839,0.0933798630717197,0.0859209437118045,0.0749227963743274,0.069764746436654,0.0701354035305344,0.0665068259739122,0.0495656344768038,0.0540451633176734,0.0352590490448091,0.0425748021105663,0.0374517651353704,0.0478467812275635,0.0533664880336764,0.076874798800006,0.139480606386019,0.199337302842778,0.252168825932535,0.401780265815286,0.321953607942144,0.257549756741681,0.225081650633128,0.228576486818283,0.18296038058922,0.242294749892908,0.239509817834164,0.323778300742076,0.313963530321857
1,Albania,2.23823594145169,2.18610210064622,2.43923717461754,2.14158143599826,2.2550420369224,2.24493050341942,2.34719895547286,2.46091600389218,2.65110908524992,3.01696079527394,3.00673019888559,2.58285917732047,2.60660107127615,2.7383117053704,2.90195007445228,2.71824695885196,2.6778595800928,2.65576388781997,2.56277524355363,2.42570708694885,2.02570477815051,1.35412362338136,0.746857750492966,0.713356722929665,0.760132019810927,0.679994693255953,0.679590324259192,0.526626475509531,0.62959930410921,1.00181093076281,1.04563528869976,1.11208491548836,1.29207793305675,1.36084992582859,1.43200816911629,1.36373818751031,1.36220135896907,1.41169997008509,1.41140347647619,1.45731627283099,1.56423987155377,1.70727117802205,1.5607582695648,1.64144182788166,1.75115541844302,1.67412714471069,1.61452428035949,1.82468003241769,1.83103852105414,1.89770794008599,1.73454918922895
2,Algeria,1.30113902994296,1.49168455282184,2.23547043041406,2.94065127485637,2.41904991294385,2.13758711654009,2.69492337135926,2.89946074335225,3.10637201768365,3.0137359747676,2.92768636829044,2.67075248779464,2.66883957602755,2.70763063801812,2.76417796938782,3.09405014525767,3.12668576015843,2.92006103905109,2.87024839826159,2.81246470466907,2.62436765833346,2.71583363584165,2.94383052490517,2.88888864761087,2.74083885910875,2.77888775291012,2.69330481998953,2.59855650321011,2.56512475587344,2.63431042826566,2.68520489864545,2.59986180615025,2.70804004141647,2.87267518863024,2.82481513932003,2.9622540457009,3.06202378415088,3.09124054282174,3.1804344019532,3.22213354335078,3.22639469379112,3.33676891087356,3.65280394218118,3.69168459611514,3.89093259283364,4.04999758984111,3.92134747537956,3.92314480586668,4.06886674915815,4.13845957369356,3.77246923330315
3,Angola,1.32114318564632,1.23256416703117,1.46424057801385,1.56255722622974,1.58324847116628,1.42276916782445,0.926145694005189,1.48295070733133,1.69998010637739,1.64374310319596,1.60607483110292,1.43390252904015,1.33532316814205,1.3342580255696,1.30286825066477,1.3328988747914,1.30844298137735,1.29739768971653,1.3032261560806,1.282494793009,0.928254632530933,0.944043379634999,0.940469828490859,0.91120775796974,0.835784287758592,0.913848925693322,1.07429482193519,1.09355387990576,1.10536642448289,1.13696933563518,1.01058193924292,0.959439996433084,0.912587787194382,0.958623018532966,0.944354888423329,0.817099815910446,0.825913422209067,0.821377245539607,0.89620775231385,0.945581323859332,1.02001109816668,1.02577190341663,0.964262739219882,1.07051749469131,1.13000681354098,1.17040521835692,1.14779251537349,0.948443053604797,0.859624273947262,0.769423263505661,0.68581735363764
4,Anguilla,0.33863651446978,0.336122023836614,0.348215545954469,0.321683374106162,0.356316092724378,0.389807372700257,0.365536623803303,0.37940238753103,0.432495196097779,0.478625563746462,0.658405180587884,0.998462450108271,1.06540002629933,0.931164856872611,0.885399684406288,0.551009591717202,0.458857477338182,0.851407927922168,0.765410366452337,0.771939182099184,0.733672785553156,0.874618249693053,0.87996124745574,1.07405610999352,1.37687567493971,1.67268544851051,1.61198424048519,1.31648587556052,1.18020214566743,1.08874583169647,1.40302928146341,1.39911717638938,0.928747537470065,1.17359680440895,1.09181324757274,1.08099553275835,0.992981691877858,0.93952299251711,1.1428511650524,1.48624815982307,1.74337423432348,1.86424175875564,1.84182954394508,1.95401942454018,1.92932090135556,1.91673704916159,1.91952467057708,1.94932046242538,1.87590433969425,1.8175826766179,1.56116004974809
5,Antigua and Barbuda,4.04803127365942,3.98324068135156,4.5591956204464,4.93334176034025,4.01493765724202,5.05570780865534,4.41549734232552,4.85321484843911,5.00339882930555,4.68203446809379,4.65592756814902,4.22903678838311,5.56785691185402,3.44904068203074,4.33864518430541,4.28870814323178,4.69660194291444,6.41369574117474,6.30915613922276,5.94768324442043,6.02288406166787,6.28354246070988,6.30344695769214,5.62061942357517,5.81283019725596,5.95128503469213,5.844111063257,5.55783699486744,5.24804275846264,5.24187783392235,4.89862040402469,4.79777329392055,4.77521332985765,5.31250706338996,5.53062768319227,5.35297469773005,5.2494278728807,5.31791565598976,5.34632323639136,6.08293794146248,6.02130106802168,6.50521602147954,7.07463515628713,7.50226700692059,7.34668592890013,7.2306078981816,7.03286584828106,5.462108395875,5.25188545977681,5.07605161388878,4.35022137227666
6,Argentina,3.70658778485052,3.66497660282192,3.64920313924117,3.74934337652597,3.68072760620796,3.54117042127441,3.6706933675196,3.74458336194594,3.73492434486779,3.87245547910925,3.72631710286452,3.58687435960678,3.46716346096089,3.48255257843061,3.36512162621445,3.13009635685121,3.44897439666593,3.55074775225001,3.66563881725999,3.53905437818067,3.30419085236956,3.38847061175999,3.44748214946873,3.38070263935575,3.59376994094583,3.66219458205219,3.83846064281459,4.00278974757772,4.07836004543122,4.16178753868004,4.07111794368482,3.77087526943143,3.52019830201323,3.8273386059009,4.2083391727427,4.23810692081848,4.46727138573873,4.61220721292363,4.86940025987311,4.56933308758217,4.65341987204995,4.79762049247784,4.90148983490155,4.76216271002988,4.83767983017577,4.8533906620188,4.80283864989942,4.62140371426442,4.52460027850562,4.18471642675264,3.87844457252946
7,Armenia,4.30956127473694,4.2132720816981,4.41647303673825,4.70002736435686,4.97106715713384,5.35151094522303,5.41786690107213,5.51634460452795,5.62038818114306,5.74073702740472,6.00374766925397,6.03523344377067,6.1096417934427,6.05454250599798,5.99723394361439,5.97832163630532,5.92149326967862,5.89305877129962,5.8128356994279,5.66366342228267,5.85090254454292,6.15130312103274,3.19650111043014,1.54028395260325,0.87829065219907,1.12481587771264,0.844568061782326,1.09553641982835,1.14615677162011,1.03586081333238,1.19347034457371,1.22281533222319,1.05428666007449,1.18369242934446,1.27901806839276,1.52508621428524,1.5498421072165,1.80700695082951,1.99506628528791,1.61452132092585,1.55363889751191,1.77309704136209,2.03956499770986,1.92367897957844,1.90666085678304,1.71892647429678,1.73682842369787,1.86107638901875,1.9666895663892,1.86673345626018,1.98006948424785
8,Aruba,1.16885178152684,1.16165969228331,1.3374374291763,1.45467738016848,1.19528875876718,1.51281635770364,1.33751804673852,1.48556958038018,1.54705785550705,1.45585267960987,1.44347892660077,1.45263524583189,1.37978728047437,1.41257126492661,1.57363478835063,1.53495705683512,1.63945873210507,1.79709966134944,6.68537805991502,8.34400148408982,8.46068148842846,9.37661052075175,9.91968307805378,8.66665174044604,8.90524016401564,9.48611945943927,6.08192247355769,9.09400356906297,8.63499194392566,8.66671922296501,9.29886596590096,9.37674857736442,8.92672453785582,10.4253654102889,10.8417356223098,11.1387083836011,10.6183412465487,10.663533618445,9.95225117168707,10.7334841690832,9.97647724714515,8.49568830942745,11.3814754374441,11.5984065572795,11.2993705253432,11.2396173009651,10.659310504188,8.55457416144171,8.27662440304722,8.05011950934721,6.94015884753565
9,Australia,12.5420680534505,12.4434188432812,12.6857274766592,13.2022594320352,13.7302550163373,14.0534972999378,14.0893465438812,14.8714401872514,14.4512746592775,14.6887684506605,15.2076021815811,15.0813934867541,15.2965457939712,14.321362413891,14.4838570350677,15.1766123082151,14.9614197159925,15.4006038924017,15.6799721542711,16.3685704962096,16.3248387892368,16.2228850666574,16.2166584861631,16.2637012321131,16.390941871412,16.7735509127717,17.1711076262581,17.4789326662696,18.4157287542781,18.5018284917171,18.6073357273757,18.7538521862106,18.9842791029361,18.7231408611819,19.1754038340418,19.0903276995044,19.0771362545009,19.2409543205803,19.0611531894014,18.9998607233497,18.4656649272065,18.0714348811288,17.7795026789736,17.232176576475,16.6460903707864,16.701201293547,16.7977947030565,16.6766635649677,16.4682601102314,16.4921617049807,15.2152324683618
