,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Afghanistan,1.7182055194,1.7164874744,1.7124083945,1.7107389929,2.1700605713,2.021272052,1.8547282254,2.2460844417,1.8894702921,2.070068954,1.9711288938,2.3310277687,2.2943207027,3.0441347199,3.188153998,4.126416785,2.674676078,2.81487736,3.05130271,2.819503131,2.835070377,2.698534136,1.7484060658,1.6249572982,1.5102045115,1.469205177,1.3353415075,1.2823876631,1.3230342522,1.29047849915,0.99596194605,1.1331379167,0.7749903721,0.9819835532,0.9032991233,1.1995570828,1.3818451579,2.0461611447,3.8069836707,5.58230163,7.2632691271,11.936329205,9.883009903,8.17249161600001,7.37322471144,7.711370647545,6.3406749497,8.60875669317,8.71173275781,12.04746905876,11.94786362255
1,Albania,4.813550215686,4.813862408686,5.49765031364,4.938486791412,5.3184264424,5.41304377776,5.78429627393,6.19626657872,6.8182549009,7.92341396702,8.06176527846,7.0649721935,7.26801183305,7.78397961992,8.42026931653,8.064495077522,8.143397761658001,8.289542053608,8.193371847908,7.892426120522,6.647248944262,4.435337139732,2.42025975767,2.275308336322,2.387263020098,2.112566713326,2.101449588384,1.62887675381,1.954125136122,3.121222099666,3.264442002262,3.47238506097,4.030029835542,4.233617727752,4.43600330588,4.199195352218,4.16061247674,4.26885365654,4.2224252104,4.31750348254,4.5996942695,4.99660226587,4.55747657746,4.79133586675,5.11473972308,4.89405958849,4.72466312783,5.34665918419,5.372931687756,5.576278146971,5.103102689384
2,Algeria,18.93157288567,22.31575007867,34.37505235552,46.47522900834,39.30254584059,35.71715688898,46.32627173834,51.29204044205,56.57417909766,56.54009787542,56.61472068409,53.26468639083,54.91324246447,57.47839547304,60.51863604398,69.82002617287,72.66824175757,69.84172792592,70.58371348585,71.03638977112,68.0036645098,72.11706111623,80.0165518805,80.27152662911,77.7364939737,80.32180527644,79.21386538264,77.66253850014,77.81485505675,81.04614091185,83.73462399789,82.13535415226,86.64374112512,93.08473047478,92.74178832053,98.60869757491,103.42873317867,106.02985974284,110.87216955617,114.27554382177,116.52963299247,122.8584965908,137.22050233119,141.53401905662,152.18721378328,161.47947890335,159.23062772001,162.09688940328,170.92517411744,176.62539063794,163.47337126638
3,Angola,8.95256826035,8.53830477735,10.38853798011,11.372228990211,11.833737377977,10.930395676428,7.317477128335,12.057857371804,14.239288368033,14.20443890113,14.342087634266,13.255726268737,12.795280248844,13.251263636426,13.389967872557,14.140724162662,14.289505799622,14.554596502547,15.005345961112,15.168322415876,11.298158434387,11.85095416191,12.196294876818,12.213555425499,11.568341062153,13.039710320718,15.773118864099,16.500634493898,17.13793265511,18.134433509514,16.614876604899,16.294457291422,16.036540149252,17.450198255563,17.815916018528,15.976344150589,16.734988126169,17.247032988667,19.500942965698,21.322386062366,23.836741354167,24.842759420086,24.19933055601,27.831634982233,30.42034842393,32.606670099771,33.071919641714,28.248617597176,26.4542536294292,24.4580927706216,22.5136012806216
4,Anguilla,0.00216828960215,0.00216832317577,0.00226374926425,0.00210895620064,0.00235026094761,0.00258403307363,0.00243447391453,0.00253706376542,0.00290161027062,0.00321301340943,0.0044126315203,0.00663977529322,0.00701885537326,0.00608888699909,0.00580113873223,0.00367082590002,0.0031546451567,0.0061258800414,0.00579721811551,0.00614849558542,0.0061144289948,0.00757944175184,0.0079029319634,0.0099522039152,0.0131312633119,0.0163956627663,0.0162133374908,0.0135637539759,0.0124487722325,0.0117508337615,0.0155315341458,0.0159107605299,0.0108589162081,0.0141078071858,0.0134718836618,0.013661621543,0.0128124427703,0.0123547273516,0.0152684915651,0.020160956288,0.0240045198324,0.0260080367764,0.0260232096264,0.0279405237515,0.0278960509127,0.0280054450253,0.0283398622364,0.0290624187743,0.0282229807907,0.027579999535,0.0238592090403
5,Antigua and Barbuda,0.2716148024,0.27160921558,0.31538691624,0.34565952378,0.28457075127,0.36203418047,0.31917422539,0.35367803208,0.36686921576,0.34426063037,0.34194063246,0.30899880198,0.40338009755,0.24708582542,0.30685068066,0.299274631651,0.32316848309,0.43513718756,0.423079392384,0.396276291526,0.401702275377,0.422926392403,0.431325964974,0.393094881246,0.416890368917,0.438127652969,0.441978431492,0.432060690144,0.419061462306,0.4289481050277,0.40944628785,0.408084203061,0.4119385531135,0.4637446790845,0.4881166074355,0.4777690506965,0.474028586349,0.48595645056,0.494417280255,0.5692474155,0.5699823804,0.62267277236,0.68466196652,0.733901767685,0.72640357122,0.72250403301,0.71005923464,0.55720060168,0.54120679663,0.52833575618,0.45725176844
6,Argentina,88.858399625,89.302285895,90.4378364795,94.5336942897,94.3904190974,92.30768937136,97.18968243049,100.6491583524,101.880145802,107.2069937114,104.7314958614,102.381589596,100.5269373871,102.5775414319,100.6874676658,95.11987216908,106.4256927528,111.23249946086,116.55081901419,114.18263483587,108.1451753408,112.4765546397,116.0257012368,115.3188096608,124.1938609962,128.15776696,135.9571244303,143.4359678147,147.8062934225,152.5216058963,150.8654531981,141.3003526585,133.3782015443,146.6230455889,162.9835053194,165.9028144689,176.7203420213,184.350844742,196.6380690543,186.4260483735,191.8321154634,199.8539970931,206.3365471329,202.5819254684,207.9307356207,210.7235450854,210.5919874176,204.5941638342,202.1992465005,188.7381638265,176.5095599952
7,Armenia,10.881943888,10.902726298531,11.705773454414,12.75014023348,13.7884975271,15.15954614519,15.65535984,16.24221472668,16.84660773804,17.50413867763,18.61011683777,18.999458052,19.5123018993,19.6081808145,19.7044518728,19.9432624962,20.087244759,20.342485295,20.371954634,20.029375783,20.701429347,21.561855265,11.004945988,5.180128961,2.884007883,3.618915116,2.6757774247,3.4324142016,3.5630346328,3.1997947696,3.663464635,3.7303938214,3.198600298,3.5721588502,3.8378344062,4.5466785272,4.5852078742,5.3000598072,5.8020916722,4.6636739972,4.4703007362,5.0986823902,5.8778631582,5.5661843642,5.5411759152,5.0140225792,5.0799105102,5.4537913042,5.7705661246,5.4820473414,5.8187886119
8,Aruba,0.06903589277232,0.06904905210932,0.08003225576191,0.08763412941349,0.07234843799066,0.09176290180923,0.0810348683797,0.08967789328923,0.09298281828954,0.087322043723,0.086747309573,0.0879817589343,0.0846430507207,0.0878633452497,0.0988809155608,0.09674220346409,0.10270225281399,0.11112006336022,0.40833620652155,0.50925109857697,0.52582289382434,0.60593532507202,0.676869574831,0.6283669177893,0.68303192058,0.76196305946,0.5060159498,0.77709169898,0.75363619189,0.771381344440001,0.8448298696,0.87108118934,0.8479674173,1.01143767601,1.07048045014,1.11421613832,1.070668584572,1.079362872859,1.008690513004,1.088944169406,1.01429846524,0.867010479042,1.1674776059467,1.196804777426,1.172818163678,1.1727529088,1.11733024567,0.90048869453,0.87459090067,0.8537393243248,0.738696627414
9,Australia,161.07652580366,162.81218082926,168.68084968439,178.0509516042,187.5827440332,194.3767318549,197.174769143,210.462108674,206.787624482,212.5934835401,222.7776851182,223.7852572532,230.0768749417,218.5067548937,224.3143906735,238.7220409633,239.1762478638,250.3352762106,259.1491717825,274.8659463435,278.1981077429,280.2000485828,283.5628686232,287.664215543,293.1142962039,303.2104477849,313.7453272147,322.7939369076,343.7295771986,349.0203428506,354.763741511,361.35860085,369.7226323855,368.7897055427,382.518625843,386.3672332775,392.4853704456,403.0344978669,406.8126619448,413.037972264899,408.4623547563,406.2422418408,405.760254239,398.936950269,390.7619776271,397.4819103059,405.260235447,407.7544301616,407.9558071109,413.7658418694,386.4391673276
