,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Power Industry,Afghanistan,0.05582526426862,0.05582533732666,0.11455231922042,0.17144776873424,0.20270787137024,0.20650943521474,0.23617133548334,0.36825543229062,0.26830527661142,0.2956293376568,0.304657278583,0.3565124708558,0.3542896685198,0.497352720839,0.4514635124667,0.629505883006,0.662393801792,0.7172264975068,0.6638567129848,0.5925624281202,0.586840413163,0.544772257385,0.3196410383389,0.3382128309178,0.2189310616578,0.3817579113502,0.3873215964937,0.3786662364908,0.474172037966,0.4434494782821,0.34818481743457,0.4196416859142,0.2945975374982,0.3783715529218,0.311090437776,0.4438258269904,0.5102479122334,0.6427442633304,1.191471127997,1.715392146447,2.089436398951,2.33703613364054,1.8363184167866,1.60152863046288,1.6699234274982,2.60231019842616,2.51360450779288,3.64710195038592,3.75188132466452
1,Power Industry,Albania,0.6995675514,0.6995675514,0.744791996,0.7580238142,0.7652134326,0.7116000596,0.7236273492,0.7197214344,0.8004949812,0.8420862832,0.821746732,0.7925621526,0.9025202788,0.9326170578,0.9782157168,0.9999183488,1.012478405,1.012478405,1.014000038,1.0035514914,0.523963544,0.331740232,0.18602256,0.319338728,0.390647376,0.26353196,0.21702632,0.20152444,0.213925944,0.2102606687,0.2837829669,0.2728913929,0.284156281,0.1729740694,0.167420304,0.142617296,0.142617296,0.089910904,,0.006200752,0.015501879999999999,0.031003759999999998,,,,,,,
2,Power Industry,Algeria,1.64985051375,1.64993809175,1.55369630164,1.2245579236,1.468064986044,2.11649612355,2.536202342404,2.82576875844,3.30646030811,3.669980006096,5.134723736146,5.323202276836,6.931802072438,7.871448907016,8.129308277766,8.610367300384,10.266446956354,9.456857980344,10.41982523133,10.41333838143,10.242849344252,10.612694108234,11.04884540325,11.547496976272,12.367078601056,12.568349978732,12.632671397006,13.371155820188,14.978866620424,15.633058508804,15.8634943298,16.6511634288726,17.5832708083064,18.8178076938046,19.877745462513,20.693301857743,22.04634434022,22.371663480921,24.166074550861,24.7174831070092,25.138774481689,28.179924854897,30.994487176532,30.157924969037,32.6985836136628,36.851648709387,36.237931087131,37.8067480298798,40.3712469304671
3,Power Industry,Angola,0.1379666357,0.1379666357,0.1597789662,0.1692699044,0.373013584006,0.354052793796,0.347668007596,0.347668007596,0.347667707596,0.388203292196,0.401047106296,0.401047106296,0.4232866296,0.4609626851,0.1176638226,0.161382912,0.2050243476,0.17380752,0.2612456988,0.245636984154,0.2924621264,0.245637285,0.1730501737,0.125550415,0.175559161354,0.1723756564,0.197635390652,0.4178054165,0.3861801355,0.6229077494,0.7306503983,0.8229526832,0.8229526832,1.030478989,0.655164460796,0.769610486704,0.871449990608,0.9795990738,1.3898464192,2.2327543009,2.375835499,2.2360244681,2.7076023947,4.00626262134,5.6878684123,6.1507359438,6.33299111076,5.3647788179,5.32983963605
4,Power Industry,Anguilla,0.000430586812876,0.000430586812876,0.000436534463915,0.000439096912182,0.000447329001238,0.000480573572478,0.000522164310394,0.000450077056356,0.000543409517928,0.000662659841409,0.000456550452937,0.000452650660246,0.000445945558975,0.000417502445004,0.000410480531807,0.0004038648440658,0.0004451577547537,0.0004648641193364,0.0003600419942508,0.000374657065972,0.0004028487557072,0.0004209322084835,0.0004435265973224,0.0004444879969253,0.0004564060001769,0.0004617997813846,0.0004987261529596,0.0004603436884964,0.000574729608076,0.0004916035598864,0.000649193625202,0.000731828784014,0.0007222859144572,0.0007520777300358,0.0007541144584782,0.0007461007006716,0.0007379514006166,0.0007616363916184,0.000778250278317,0.000779531655946,0.000791028419595,0.000911975337857,0.000911975337857,0.000979167401408,0.000977610401793,0.00098144199608,0.001019526110718,0.001057607227488,0.001027083980004
5,Power Industry,Antigua and Barbuda,0.1238369879776,0.1238369879776,0.1218789601752,0.1373706269592,0.122352355809,0.152267848017,0.163160304588,0.168699425421,0.200988336413,0.174775679686,0.174749467504,0.1454052538794,0.1944855977842,0.1149878563952,0.140160417358,0.1435722452378,0.14353313264582,0.1844142248218,0.1856689900008,0.15348032063708,0.1619219596066,0.1832781529572,0.19729231917756,0.15719650367454,0.16781652586582,0.19885541207662,0.1996739877303,0.18615405834096,0.18851168638114,0.16294738125894,0.1703538202478,0.1718046315968,0.1829700876458,0.21338938836,0.2251835594898,0.227277373485,0.226421259076,0.2335115055868,0.2465197413078,0.2778021301896,0.31458375582464,0.33639518113452,0.34017293976098,0.34699893945674,0.34806743436966,0.3548977136042,0.3460896267734,0.2056338364162,0.1996937102028
6,Power Industry,Argentina,23.8810615897548,23.8810615897548,25.0214371394808,25.1042025641712,23.4789727562164,23.0208566112548,24.3859102933356,26.4406439059,23.6000262153356,25.2124107238548,22.4689997813836,20.8174107547808,19.4194199437548,20.7608270306096,19.3650770960192,17.3006203235644,19.7104360595317,19.7815565668981,27.5228390148121,26.4323209722074,20.3207011704839,22.3075418051277,21.368529099144,21.412209301865,22.076944401092,22.8980462406378,25.9690716633161,23.930575180652,25.7196836451373,29.6797074477168,30.3707343052499,24.3204424556727,22.0546484123681,25.5591941198031,32.1058296039594,32.7945473630886,35.6624685165829,40.897915073735,44.649770624263,44.1951400187276,45.6754627455978,50.4427593148207,54.5450430005407,52.1279169648517,52.1730910407142,54.8084846599807,55.3126344214713,51.149576751307,51.0181081032705
7,Power Industry,Armenia,2.0041845332,2.0041845332,2.2148077926,2.657163769,3.0778418368,3.4197530346,3.6359387962,3.8118673282,4.0016443374,4.2080275054,4.3815561482,4.6358919914,4.7320888018,4.7848669086,4.7010488398,4.6828961098,4.574739973,4.533643421,4.2666372838,3.8581113346,6.108209866,7.8096455312,4.872745696,0.8139783232,0.8219768288,1.393780326,1.5380584692,1.8030567044,1.7881937512,1.4572760148,1.6025998372,1.5409397668,0.9182992444,0.8790474392,0.7674679516,0.9503634352,0.9042609444,1.0825533344,1.041386266,0.6459483644,0.6333700892,0.9463204896,1.433068496,1.3226107044,1.5534659872,1.2729186064,1.1743645324,1.2401238032,1.3188170981664
8,Power Industry,Aruba,0.030964439968401,0.0309644396284116,0.0304752190837408,0.0343496342300508,0.0305966370834132,0.038072085310469,0.040798760402911,0.042183911070342,0.050256360629328,0.043702906688578,0.0436965639098792,0.0408312786965564,0.0401565151731126,0.0403634966836046,0.044604534828878,0.0458144788282948,0.0450962303399614,0.04655032055686,0.1790804595946,0.19730884791884,0.212029931936394,0.262716004901626,0.309809771251914,0.251545471098498,0.27522705651255,0.346210990346444,0.228440774680652,0.335156531270668,0.339408096470862,0.293338566126758,0.35199432023924,0.36731440629534,0.37718767596544,0.46598060814756,0.49441712787056,0.5307628816959,0.51206362003066,0.5192715952525,0.5034132226614,0.53169530245386,0.55999149861232,0.46817037907096,0.58017349374508,0.56591662258108,0.5620197069959,0.5761182799935,0.54462230127556,0.33245952428316,0.32285652667196
9,Power Industry,Australia,53.55619884513,52.7736027637564,58.3172159905912,59.521269159372,65.6266625823212,69.8790296998714,72.2588930058898,81.2922622301589,75.8718853528898,79.1327928498565,89.5258298094946,93.3378081955996,99.1430863899084,94.2945098376954,96.9703656067525,104.777369372831,104.734661046293,111.772244819769,117.147008894331,126.519759881762,129.422287273568,131.763331160466,134.493357106522,135.391919701029,137.602319911393,143.257550945685,150.020842728135,154.394451130548,173.44491410205,176.933035276746,179.823438221009,187.61590254735,204.152289960718,188.309396087652,197.576196800642,202.780322774193,206.378573113593,212.795312069898,212.771350210784,223.327721770545,211.719570524845,203.701836800824,202.714438243555,192.371221594348,183.204857968194,191.309154921591,195.510789654017,192.47452813314,187.624064636943
