,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
223,Annex_I,OECD_Europe,DNK,Denmark,bio,1.83063306,1.94915851,2.406189261,2.367196091,2.431921425,2.1474865363,2.0983764083,2.1929579295,2.6366006802,3.637970597,5.076241365,6.326238789,6.92260248,6.91513049,7.490172533,7.2866997546,7.5257310378,7.7876250503,7.67381215,7.5631356201,7.581403769,8.008115039,7.931377726,8.319806812,7.971371754,7.5866403751,7.77338628,7.940048989,7.434773772,7.5696551413,8.3514045592,9.1850267038,9.506387549,10.6047311907,11.1577833194,12.536437125,13.446105872188,15.274902682147,15.156468585813,15.22767743292,16.433649520397,15.194038877946,14.7426151331,15.10889279322,14.98941445023,16.6806304448748,17.4708965349786,18.2450826797851,17.9796872167348
224,Annex_I,OECD_Europe,DNK,Denmark,fossil,370.5454254016,362.9860804229,371.7864847493,378.5008854866,382.0357170762,379.93570199802,383.09329591173,386.0524101801,392.53503437945,393.65513135251,392.8633551673,387.3626301001,381.8483352831,382.3568224487,372.7399644069,369.4839492237,366.2313282216,361.1144465081,353.100655719,354.47251083951,358.0790814492,363.30374363183,365.100533792453,370.627627088737,363.67906581637,364.35389630784,363.601475391058,363.52049730483,364.42542632228,357.654906534336,361.921027372332,368.248536590628,363.882132849458,359.645823347275,355.413929894763,351.308561611117,347.555432847995,346.514085370518,342.249577179673,333.86498337857,344.44973947933,339.553737574285,335.780868034607,329.60097599875,329.425474468373,329.321345842691,328.154590432436,327.579659829564,331.169327421062
227,Annex_I,OECD_Europe,FIN,Finland,bio,53.396593226,51.786128361,50.749072673,50.41715334,49.37743991,40.765675755,40.66074542,39.44639474,41.23718578,43.52960179,44.2577915,45.52682507,43.33430682,47.72945117,13.62716203,14.10516411,14.70372982,15.071962158,11.445922119,14.771094135,18.756744103,18.199129541,17.99775379,18.663884186,19.05221996,19.104283879,19.804651928,20.63312541,21.079339601,21.085539866,21.412333314,22.641449185,23.7110841715839,24.047352481505,24.561467210822,24.010067612,25.6008420771087,25.4083003231002,26.96004640054,27.164225456336,30.879808324617,27.793362340356,30.006002066282,29.320233571283,29.62865636423,28.437754490987,29.856752182306,30.39796052707,30.45223695745
228,Annex_I,OECD_Europe,FIN,Finland,fossil,646.1933401077,660.1147251283,668.5581144128,673.3052968462,670.7929628109,644.5004720181,655.9139647416,658.3508268835,675.43004281307,694.41044154582,698.94141444096,695.7302540088,677.6716985366,685.3614392435,699.4951060689,700.3082571597,700.9003321738,707.751898895,712.82170214306,714.47293613981,764.8285802359,764.44668645172,755.448499131671,761.076264773158,770.76506997236,744.4295893111,707.95940093857,705.327503458361,674.07603646422,737.050886235298,728.81345843842,735.041237696991,709.422085229302,737.740130047961,858.731808769918,790.032335793825,885.854098616953,740.921696697265,755.05664234018,759.558813549762,788.194560340206,795.149672985488,872.987288152128,872.208368058372,878.942302394017,884.935864369888,740.663238066514,759.72398575394,768.778123411828
242,Annex_I,OECD_Europe,ISL,Iceland,fossil,18.6437963842,18.759932809,19.5931274749,20.3541798616,20.63405035511,20.74836553771,20.5829044108,20.7657205332,21.0806699071,20.967554492,19.8716325182,20.1610574792,19.56553199661,19.6241434797,19.99464294261,20.1690658859,19.8550755397,19.3541934511,19.1720686025,19.0462699277,18.9678616349,18.7196053597,18.5796865399,18.75267048131,19.23694940141,19.31907029921,19.66545708132,19.844995963116,20.16869514048,20.34208609065,20.11695382121,20.40166786953,20.25820265843,20.25423761632,20.40246852241,22.27620373791,22.41183982911,21.74595716061,21.65827277131,21.057253334806,21.102740485294,20.37963218165,19.6169344748,19.29825535067,19.9376309872,20.84639781377,20.80862253924,20.7147375976442,20.6434895700993
243,Annex_I,OECD_Europe,ISL,Iceland,bio,0.1096784015,0.10862323,0.107444528,0.1061507393,0.104855361,0.1031731167,0.101348021,0.099260742,0.097126461,0.094884451,0.09268903,0.090424547,0.088153333,0.08583206,0.083455115,0.080921835,0.078306869,0.075545469,0.072659227,0.06967184,0.066611276,0.062201671,0.056623091,0.04562993,0.039101262,0.0318890059,0.0263027903,0.0230627922,0.0177273998,0.0130302877,0.0109438229,0.008838525,0.0071869243,0.0051912536,0.0056890275,0.0033951893,0.0036782064,0.010023118905,0.00974526933,0.00887089869,0.011320886848,0.02189205038,0.03189895895,0.0325359787626,0.0331840068108,0.0335955939649,0.0468974668558,0.0474857329174,0.0416237964042
250,Annex_I,OECD_Europe,NOR,Norway,bio,0.136934239,0.140569457,0.13548431,0.146105022,0.16781995,0.135108112,3.50624399,3.76352318,4.043789299,4.91550359,5.440755237,5.506220163,5.494607723,5.516785303,5.769218875,6.025347693,6.200961242,6.343718734,6.253332246,6.292713273,7.287864573,6.580603391,6.549608002,7.35819047,8.03468261,7.74403736,7.612297824,7.930946837,8.48391294,8.331516315,8.23447888,8.248597665,9.257338592,9.316808178,8.833669803,9.401664717,8.90322817013401,8.287900055475,8.643608990245,8.986995287066,10.178580361265,9.213416929035,9.471817864678,7.959830652204,6.801574413144,7.39541825246,7.551960438997,7.786093440159,7.778238074326
251,Annex_I,OECD_Europe,NOR,Norway,fossil,265.8457285899,259.7562859289,262.7589744598,263.0634741198,262.333946739,265.49629637106,281.2497259249,284.8621412969,320.5526110209,348.7181836579,378.9906933898,383.9714795691,380.844880612,395.952539914,414.608997288,422.14617233,426.689156975,450.542249551,466.131854803,509.886839606,519.567462281,546.7879543495,580.6005587849,598.074172533,645.507904333,681.796576553011,739.4926638983,758.54116392967,739.21667460115,746.64857202554,791.45596335162,813.584003297771,850.788062974559,892.14076094078,888.13115584359,853.97322272853,856.92750875848,880.130395011401,895.781618919,871.9855630607,840.8316894588,807.4004756097,818.90440918607,805.24917422586,814.00931555161,835.285765162999,835.315709744179,844.31892806914,853.64613545193
254,Annex_I,OECD_Europe,SWE,Sweden,bio,7.788338957,8.031783346,8.020560506,11.306526165,10.062146461,10.019895469,10.671420659,11.232303368,12.758792517,14.265830103,15.561549402,17.564474875,17.100478438,16.9665030808,19.001738965,21.013985357,20.484355447,19.432993647,18.910286617,18.507582454,18.721804703,18.838730174,18.90574155,19.695219712,19.396642934,20.2036652007,21.41152514,21.4403134876,21.3578876709,19.2862390249,21.638061644,20.157603696058,19.916872396468,20.61408760366,21.34109227655,22.82543452252,22.46180460292,23.13694181768,23.82577057111,24.39515726096,25.7024209383784,29.6372927501527,32.1612979577698,27.8364835320626,27.5540986887205,28.2401199910615,28.7079582901525,29.225718122747,28.9762413151193
255,Annex_I,OECD_Europe,SWE,Sweden,fossil,497.0995246682,484.4345453096,493.9507977119,518.1099073075,523.1645550197,498.0623636798,498.6703487397,485.0572561626,498.1127446749,511.7477014821,512.120948807365,507.56200439341,492.993073996,508.57018926399,520.17220527212,512.72876010308,510.79109315121,516.847510859148,525.688721204548,531.26692004318,539.31265772142,526.050649520097,522.379439231906,535.46123109658,541.574621528383,532.160567122487,516.708870746565,552.983957009212,522.663447074421,532.178822047852,533.89860837561,529.27636626723,541.60490241062,549.15371433903,565.602366988401,456.003427953597,515.971473834713,507.937007077917,493.0343646006,482.587467092723,475.719686638773,469.433339289617,466.164850920825,453.362521067151,441.135841684518,435.027313694066,437.474082812029,445.452922260534,439.055232200622
