,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
111,Annex_I,OECD_Europe,DNK,Denmark,fossil,62635.63307413,58388.36034553,60458.39520158,59529.94275348,53154.16823309,55466.58849109,61197.12485952,62927.31357018,62887.74651455,66327.65074604,65776.80328744,55499.50764658,57814.24305253,54302.47081567,55957.9831033,63777.85835226,64426.57265418,62488.4081469,58586.64809726,52907.29878482,53551.9235293,64152.50663231,58414.15572396,60609.4681851199,64775.38185762,61646.89332546,74971.829703029,65202.32622617,60959.94573121,57994.57961294,53901.08286414,55411.90164964,55018.31352729,60454.55532529,54850.01726034,51420.63215892,59319.26604421,54482.43839459,51268.90274302,49021.7945637601,49141.00713676,44094.1519217,38963.25240757,40786.97038793,36619.96332124,34064.0564338978,35827.5337415898,33664.7299417374,33788.6887540811
113,Annex_I,OECD_Europe,FIN,Finland,fossil,42325.37892987,41741.45386418,45422.5464994,49476.63211003,45652.8055188,45809.81791289,52041.1935023,51721.28287126,58177.51618274,57943.60539807,58471.85714935,49062.5038514,47319.29152485,45738.46706354,47087.27265098,51521.77165819,51630.6518295,56292.17467347,54915.01943964,54930.41682916,57278.96522317,57723.44151667,54724.08516995,56115.64881492,62845.15903742,59425.08447649,65467.30638464,63394.51677503,60144.83382486,59475.88915011,57871.26650893,63939.94894045,66049.02625805,74305.09182121,70567.48432622,58315.00131993,69923.970786177,67948.3116189699,59612.11738186,56992.25247361,65861.49834519,58139.4413012199,52257.73395176,53528.01564321,49472.26570979,46072.39284515,48948.47898094,46327.96895915,47642.11303203
121,Annex_I,OECD_Europe,ISL,Iceland,fossil,1937.345695,2035.8643026,2249.1950881,2585.7577117,2529.4025573,2373.3290269,2395.4567155,2465.5656881,2540.7113696,2628.5537982,2434.1323858,2344.0354842,1984.9581281,2024.3591756,2249.2582781,2138.4542256,2146.1621914,2184.7564889,2303.3380974,2306.6130939,2344.5161258,2297.2353338,2310.2944028,2412.0136698,2522.0650018,2448.6841268,2717.787749,2632.924074275,2718.94425041,2749.87287874,2865.430798,2970.9906022,3142.9300947,3115.730354,3202.2344215,3173.4651164,3280.9977611,3500.1034074,3802.3447662,3842.69781499,3749.37315056,3617.139002,3665.2574535,3745.8492964,3570.931971,3663.6590443,3633.3428844,3897.9177127459,3849.08683197723
125,Annex_I,OECD_Europe,NOR,Norway,fossil,36926.30321663,35658.99988068,38665.27818557,39233.95812768,37685.18004573,36856.31261002,39005.50104745,39994.6325288,38911.43133301,41800.05388567,40065.14622189,36589.79090644,33197.78343352,33107.72221562,35065.60944878,35940.26753747,38349.50577311,37075.7353732,38125.23820951,37210.56514139,37443.82607572,34807.07312222,37471.13372212,39565.59510758,41569.59371306,41782.81262762,42165.17684599,44536.20737964,46229.53145818,47797.57086304,42888.84616157,43337.175329473,42640.66521701,45516.16408477,45946.04000451,44217.6863265101,44889.94922997,45848.9296132,46227.24064048,44694.11612216,46501.43331326,45430.49679313,44970.08022225,44749.61279717,44515.250558189,44961.0545058102,44269.7974774799,44027.002832123,44539.754188875
127,Annex_I,OECD_Europe,SWE,Sweden,fossil,95992.0738344,88790.06473282,89085.28288683,91500.00084177,84389.3088788,85974.6384223,92760.91337908,89202.29578764,83874.1002241,86754.0018224,79392.229450409,71995.58800057,65945.53403422,60302.95406227,59752.42267429,63685.65243995,65303.42019239,63402.77104661,61520.6052708,58700.68025523,58110.34436786,58508.961887406,61114.543522488,60882.843073897,63220.444084122,63013.52390866,68502.491471889,62426.685917179,63461.752679605,62161.959569476,58430.86923739,58390.095040123,59776.04125448,60541.54267972,59007.36589746,55974.94108091,55406.2381991,53097.86079079,51109.95802925,47469.00080701,53513.5046513351,49258.6337324428,46146.327771997,44254.8424906352,44038.2416750518,44132.9708958747,44972.4572522951,44595.1168438427,43003.4214866421
