,Unnamed: 0,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,52,Denmark,0.266904910719951,0.315343897610189,0.281625404319681,0.292178183080085,0.296452379085342,0.273843574304042,0.323648727033097,0.272585593694797,0.249319510028816,0.230399313486518,0.206403235165896,0.210456081508192,0.207991244445953,0.227654508998588,0.201181469731848,0.184296704136892,0.204600159849493,0.186223979148225,0.176141870422019,0.177111728979988,0.174281615273347,0.15431972636962,0.136054454666207,0.141105698891797,0.126143139381407,0.115104257017348,0.118049701071458,0.10829162371127,0.105720605203322,0.0902596976610617,0.0788095792099749
67,67,Finland,0.348730462768953,0.373417116043868,0.366074989353144,0.37788540319438,0.407069848144812,0.36934217162822,0.392502365797223,0.357435913028508,0.321564918855,0.304646189277512,0.280247329717521,0.301759542563816,0.30648107809805,0.338017774986573,0.308691937708448,0.24819496072356,0.286082286263104,0.264008506529584,0.22981704099788,0.239016153719816,0.267684013364438,0.230428348356771,0.210052522637987,0.217116211001048,0.201400517680942,0.186532135149334,0.192446483556746,0.176173652750971,0.178882915503161,0.164394311761277,0.155725276378939
88,88,Iceland,0.264639400077088,0.259883443262995,0.270486736011223,0.278734874578633,0.281300778503095,0.271935989232325,0.288638525357092,0.264367660681612,0.254282519231358,0.247200674889064,0.245357608573869,0.244580139498732,0.257295063836595,0.24971769291911,0.238075191606166,0.222320413923338,0.21619660123819,0.212654601792497,0.226023790501526,0.247381342558706,0.248410285230735,0.235306038256883,0.235926887042025,0.230615766671832,0.216199118226329,0.212390164604664,0.197151994955815,0.202241939701891,0.189983212178992,0.172328691396,0.165441326487231
138,138,Norway,0.209509565136482,0.188928223206011,0.196369376146026,0.201609075114126,0.201627548588185,0.194576188674863,0.1869565370434,0.187557889694838,0.189710274845362,0.192274665721853,0.167170576169464,0.165484740753925,0.160503755786769,0.169782201422711,0.164842385196893,0.154583051690557,0.153255496115335,0.151978813396058,0.152506282549266,0.150039612831505,0.15501893851729,0.149976860698229,0.144549656869673,0.142368765267276,0.138888225766801,0.137572308534686,0.134599235997469,0.129383611875101,0.129885978471858,0.125695075329744,0.123317083261965
178,178,Sweden,0.198774816104061,0.202458467998076,0.213953406665867,0.217637818396993,0.217448375574283,0.208530587240966,0.223170343447351,0.197317634134786,0.192297700456142,0.180685121591694,0.162113145992427,0.159685382885049,0.159961445482127,0.158352298859003,0.147924248247011,0.136422285454321,0.12902031599032,0.119533935012755,0.115579521409304,0.11221583109106,0.119398215694074,0.106501750588582,0.100363054259751,0.0951195566846072,0.0922034277002217,0.0884317361638098,0.0883125670664737,0.0850357760097149,0.080622014367657,0.0827402774151048,0.0806039671144501
