,Unnamed: 0,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,52,Denmark,62.63563307413,58.38836034553,60.45839520158,59.52994275348,53.15416823309,55.46658849109,61.19712485952,62.92731357018,62.88774651455,66.32765074604,65.77680328744,55.49950764658,57.81424305253,54.30247081567,55.9579831033,63.77785835226,64.42657265418,62.4884081469,58.58664809726,52.90729878482,53.5519235293,64.15250663231,58.4141557239601,60.6094681851199,64.77536480762,61.64686727546,74.971837643029,65.2023151761701,60.95992666121,57.99457354294,53.90110279414,55.41188259964,55.01828947729,60.4545502752899,54.85001419034,51.42064210892,59.31927197421,54.4824183245901,51.26890067302,49.0218095637601,49.14101513676,44.0941609217,38.96323140757,40.78696638793,37.05246332124,34.6020034338978,36.6393537415898,34.5591229417374,34.4726667540812,30.2699260950063,25.7075521727006
67,67,Finland,42.32537892987,41.74145386418,45.4225464994,49.47663211003,45.6528055188,45.80981791289,52.0411935023,51.72128287126,58.17751618274,57.94360539807,58.47185714935,49.0625038514,47.31929152485,45.73846706354,47.08727265098,51.52177165819,51.6306518295,56.29217467347,54.91501943964,54.93041682916,57.27896522317,57.72344151667,54.72408516995,56.11564881492,62.84515903742,59.4250844764901,65.46730638464,63.39451677503,60.14483382486,59.47588915011,57.87126650893,63.93994894045,66.04902625805,74.30509182121,70.56748432622,58.31500131993,69.923970786177,67.94831161897,59.61211738186,56.9922524736101,65.86149834519,58.1394413012199,52.25773395176,53.5280156432101,49.47226570979,46.06908284515,48.86606878094,46.16216135915,47.48694403203,44.19622171872,40.70443934229
88,88,Iceland,1.937345695,2.0358642026,2.2491950881,2.5857577117,2.5294025573,2.3733290269,2.3954568155,2.4655657881,2.5407113696,2.6285536982,2.4341323858,2.3440354842,1.9849580281,2.0243591756,2.2492582781,2.1384542256,2.1461621914,2.1847564889,2.3033380974,2.3066131939,2.3445161258,2.2972353338,2.3102944028,2.4120136698,2.5220650018,2.4486841268,2.717787749,2.632924074275,2.71894425041,2.74987277874,2.865430698,2.9709905322,3.1429300947,3.115730354,3.2022344215,3.1734651164,3.2809977611,3.5001034074,3.8023447662,3.84269781499,3.74937315056,3.617139002,3.6652574535,3.7458492964,3.570931971,3.6636590443,3.6151818844,3.8640867127459,3.80100983197723,3.53636862560621,3.16929325542642
138,138,Norway,36.92630321663,35.65899988068,38.66527818557,39.23395812768,37.68518004573,36.85631261002,39.00550104745,39.9946325288,38.91143133301,41.80005388567,40.06514622189,36.58979090644,33.19778343352,33.10772221562,35.06560944878,35.94026753747,38.34950577311,37.0757353732,38.12523820951,37.21056514139,37.44382607572,34.80707312222,37.47113372212,39.56559510758,41.56961371306,41.78284262762,42.16516684599,44.53621737964,46.22954145818,47.79756086304,42.88882616157,43.337192329473,42.64067121701,45.51616408477,45.94602900451,44.2176763265101,44.88997122997,45.8489406132,46.22724064048,44.69411012216,46.50145031326,45.43050179313,44.97010822225,44.74962979717,44.515436558189,44.9610475058102,44.4607674774799,43.730857432123,44.391827388875,43.325450737645,42.181690844107
178,178,Sweden,95.9920738344,88.79006473282,89.08528288683,91.50000084177,84.3893088788,85.9746384223,92.76091337908,89.20229578764,83.8741002241,86.7540018224,79.392229450409,71.99558800057,65.94553403422,60.30295406227,59.75242267429,63.68565243995,65.30342019239,63.40277104661,61.5206052708,58.70068025523,58.11034436786,58.508961887406,61.114543522488,60.882843073897,63.220444084122,63.01352390866,68.502491471889,62.426685917179,63.461752679605,62.161959569476,58.43086923739,58.390095040123,59.77604125448,60.54154267972,59.00736589746,55.97494108091,55.4062381991,53.09786079079,51.10995802925,47.46900080701,53.5135046513351,49.2586337324428,46.146308521997,44.2548591616352,44.0382606370518,44.1329528058747,44.9860624522951,44.4292231538427,42.9445456966421,44.6766061204123,42.2966778649924
