,Unnamed: 0,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,52,Denmark,16.4068600162024,15.4042448154436,15.6290016915926,15.4563685764129,14.3518553196911,14.610871094362,15.3918648548784,16.0480695820934,15.9913280347352,16.5647797432748,16.6712003360546,14.2620969142419,14.8673994623733,14.5023967898477,14.2956638440275,15.7866067935952,16.0081369186146,15.5223912372545,14.6406955026361,13.6393857737224,13.6915652885416,15.7208597357866,14.4956320420546,14.9415323700845,15.6521746289392,15.0166285937124,17.5115855117224,15.577468079607,14.7071356192866,14.0741426041093,13.3001299293899,13.5354241905723,13.3659805784244,14.3544921787365,13.1792125137268,12.4723250997681,13.7271350688516,12.8030014860842,12.0840336972616,11.5841078107654,11.5826498656732,10.5872244381588,9.63343553240688,9.86371682478263,9.16703897859859,8.68554674698985,9.02315925052213,8.58934685729853,8.54427593963052
67,67,Finland,14.1514593597498,14.0469264000188,14.8647671333366,15.7296347444372,14.8360429873217,14.6436061171175,15.8638690069719,15.7160482264332,17.2126966299935,17.2677315926692,17.3792752539792,15.2695805004702,14.7078648064632,14.4602501099012,14.5351510879107,15.2918307080763,15.2727080046863,16.1858554802164,15.8639344186493,15.8911289874801,16.6205678264994,16.6214213806786,15.7105661344928,15.9661162530073,17.3033303526764,16.4655703429695,17.4464187545702,17.015554091637,16.3403741033233,16.480637704372,16.1651953494623,17.389608731336,17.6811167048672,19.426528906498,19.2274242007712,16.4726032906241,19.1304396928109,18.0347603677416,16.3752309158894,15.7369668072216,17.5978183065581,16.0397013900693,15.230775871813,15.3918478302567,14.6214290550727,13.9355789838052,13.7409210385627,13.2576569229435,13.4960863364802
88,88,Iceland,13.2993996940092,13.6009225377372,14.5998047402337,16.1308956525687,15.7596808394173,14.9161548760972,14.8365499356948,15.060196673541,15.338461812339,15.5505149060737,14.3555865145564,13.8659506243438,12.3628984992359,12.4057268718682,13.2480826626641,12.6837214004812,12.5506747657598,12.5001823402904,12.8288775197181,12.7049943427997,17.7891141184733,17.5007532873182,12.6688899108744,13.0116579014164,13.3767970020156,12.5585808280933,13.5527724569793,13.1830006348929,13.6418203969553,13.7242113788182,13.9944140397128,14.2572207239405,14.8364100247253,14.5991584300347,14.7594158175238,14.4895475225693,14.7387045406444,15.5396512870008,16.2307674898751,15.9467682238336,15.5667397422035,15.0010039613257,14.9124582191901,14.9641004029175,14.3315247548414,14.7547293690268,14.4703794113011,15.0921935131342,14.6585330290697
138,138,Norway,13.0206283367991,12.6139883003935,13.3777678296882,13.5703726625088,13.1917403782781,12.8578085337588,13.4658186970867,13.7023985488541,13.5774101298228,14.4295899884008,14.0541121243423,13.1206504929958,12.0763679997237,12.0153838125736,12.5445240460497,12.6675826209295,13.1300773851392,12.8305258456653,13.1515714052501,13.0274489457477,14.7124140848348,13.9255585705295,13.9494052590872,14.5904933926124,15.274954952141,15.2413435032353,15.5828852165089,16.1773614595279,16.3202613082232,16.5994079818325,15.6248380311792,15.6897762982305,15.5066049844073,16.3206179817481,16.3241665521808,15.5921162027787,15.5194863454257,15.5851349859437,15.5083065203425,14.7483235879287,14.9001274344162,14.3220677146547,14.1088183324502,13.8403446736381,13.6343273533256,13.6698108892852,13.4393535015984,13.2113170189966,13.2638863699218
178,178,Sweden,14.413410359658,13.4475117630868,13.4571048369643,13.8162596555292,12.9099143289021,12.9960416157296,13.7608388202119,13.2417955900406,12.6131178737959,12.9740672639005,12.0483896087828,11.128044551997,10.3414536471023,9.72385684213634,9.70426303525228,10.1248160067109,10.2297366394304,9.94961414879341,9.66457412035412,9.29845875447625,9.26090373681586,9.1921097395055,9.43501737192116,9.40615264956184,9.64417995930537,9.53195005612608,10.1253410644797,9.53853731728284,9.55617210029806,9.4231325432892,9.02098382766264,8.9487264406133,9.12187941265372,9.19268445713334,9.02885647265577,9.09160993880104,9.2108866469553,8.83454746010674,8.30020616462241,7.7133032197943,8.30661394568459,7.70663977104287,7.21576556309352,6.9131366039389,6.81471651676911,6.76355745204505,6.81918334557343,6.71705683206433,6.4700108758334
