,Unnamed: 0,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,52,Denmark,0.350825770247068,0.398353081528028,0.361426511603137,0.373879563290413,0.373308889818018,0.349051749393448,0.397248591865561,0.343702171127415,0.318821009569661,0.297558163465175,0.272027468661782,0.27544698177919,0.271481018322113,0.29119214240314,0.261165838637437,0.242361135507665,0.257769845771317,0.239373005188556,0.228249304630287,0.231295306512693,0.228184917415599,0.20686165589179,0.188735217185373,0.192386658139854,0.176763247157246,0.164361301276462,0.166055790234925,0.154317755626815,0.150784517845676
67,67,Finland,0.50557097502811,0.539681763809946,0.530198540819274,0.545301482077161,0.571281235107946,0.523867971544238,0.537318722485918,0.494250782570109,0.451168475346664,0.436935380987842,0.406120802129215,0.426797599914902,0.427725838734799,0.46193086415448,0.440914637724157,0.368699288238419,0.413070175772294,0.371246527670634,0.335844764437662,0.352605583234771,0.383780160483894,0.342601181414708,0.331387236840942,0.339414855883315,0.324981750794004,0.309318408369629,0.297802400533891,0.279456830547156,0.281779584434564
88,88,Iceland,0.512116782820714,0.510054033336634,0.385871505257786,0.394940350830994,0.395584048687481,0.37325673971374,0.388840845823094,0.360980495239777,0.351227434355548,0.342819967688317,0.33604431673223,0.332046179118962,0.346554445621285,0.336928205983125,0.319431957103744,0.29942739787593,0.291091522004833,0.288150719276052,0.2999439378269,0.324495479737262,0.330372184639873,0.31561118531999,0.312469673367562,0.301283657378301,0.285000686558825,0.282477734095148,0.262366650408141,0.26463905631072,0.247480323254902
138,138,Norway,0.349637872103394,0.32271260208698,0.313805920991344,0.320939576451387,0.321665607146646,0.309953937413182,0.303540515335898,0.30114628789079,0.297860802873671,0.298747932949283,0.274020409895248,0.270991035479473,0.265343976204031,0.278220904891554,0.269302711567923,0.252506944076361,0.247597560254577,0.243822682829357,0.244118603542047,0.238996637773366,0.242689529466574,0.23392521030057,0.227298046201671,0.22355680534426,0.218664268318155,0.217493905126605,0.213791836085162,0.207373800983393,0.207757510631469
178,178,Sweden,0.271399667520634,0.274343646751136,0.28692881237887,0.29410314247215,0.291849693880702,0.278736669768979,0.292236051570656,0.267389723700985,0.256868723096556,0.243034748099616,0.222291551443383,0.217755616511723,0.217756408179548,0.215231175241444,0.203496292049198,0.200278623917036,0.195102906628825,0.182241617656719,0.173376415160664,0.16982296954871,0.174033127199792,0.157725131201406,0.149730101122149,0.142871160947695,0.138248584044724,0.13232106675671,0.131693082840977,0.127413754299429,0.12125483202117
