,Unnamed: 0,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,52,Power Industry,Denmark,16.705599342109,15.0047284409384,16.6734546811857,15.6127412125496,14.9059993410257,15.7248810509343,17.9062248953615,19.6955958897343,19.1273135444614,21.5398450584104,26.39071812467,20.1047608191696,26.717457387683,24.7923828255555,25.3177741574013,30.9556597582566,31.2259565752628,30.1132645070808,27.9848305929876,23.332835995405,25.3528841065003,34.2345078727055,29.0385325214898,30.6219384139507,34.7106911459368,30.848325563782,43.1762925730693,34.0951083014231,30.6178999704623,27.3889978582674,24.2147442536142,25.5072610823163,25.6863949324729,30.6794767585604,24.7318451161244,21.4292221856046,29.1363421284283,24.4298443379635,22.3841437979872,22.3703321839455,22.4152811979429,18.1887325678405,14.8853634689131,17.1845071621422,13.6771209683127,10.764950140474,12.0522361892342,9.55810950785334,9.69923745663383
66,66,Power Industry,Finland,8.4749316291,8.18986158167588,8.40465587573746,9.60674986157178,9.64142809258341,10.2073352677018,15.5942197168063,14.7153316923616,18.7792719282619,17.3829189258582,19.6996395434818,11.3904570810464,10.574764467403,10.3334143068047,11.9544213925497,16.8758842271153,16.0020303575595,17.775260020097,17.477668682066,16.6443401360078,18.9555405184841,20.8195644422669,17.8777889746748,21.0619474209768,25.64732537488,23.7290153019927,30.6807573773122,28.3962729952837,22.9307447914245,23.2811140067494,23.5573809578861,29.4064063462928,32.1348455280358,40.5086449081873,36.4145751905939,24.4672230997938,36.3094943233068,34.0790212662855,27.1349181770406,27.319416857111,33.6024067970819,27.1316091833396,22.2344634465736,23.4844914915281,20.9913900885443,17.8278355993726,19.4116036779454,17.5927544275897,18.5682426368536
87,87,Power Industry,Iceland,0.0284775052808,0.0316747087596,0.0348719122404,0.0601522142404,0.0570293447692,0.0601522142404,0.0443148647596,0.0443148647596,0.0379947817596,0.0379947817596,0.0316747087596,0.0377959612808,0.0156385289875,0.0094262229875,0.00630336239404,0.00630336239404,0.00630336239404,0.00630336239404,0.00319721239404,0.00319721239404,0.00319721239404,0.00319721239404,0.00319721239404,0.00530200239404,0.00530200239404,0.0115310129875,0.00840815239404,0.00840815239404,0.02393892451324,0.03636350239404,0.00587356439404,0.00587356439404,0.00654265239404,0.00654265239404,0.00654418679404,0.00654495399404,0.00657049799404,0.01834705599404,0.01055728999404,0.00511094399404,0.00491772439404,0.00319721239404,0.00319721239404,0.0063200729875,0.0063200729875,0.0063200729875,0.0063200729875,0.00676645061096,0.00675323953002
137,137,Power Industry,Norway,0.3180067574,0.2483369468,0.1747458322,0.1546139836,0.0861496326,0.1034960863,0.1275096151,0.2143530818,0.1443730784,0.151865081,0.140905847,0.1319146616,0.2359296034,0.3568517717,0.3926454766,0.4509064911,0.5415782076,0.6433874114,0.6426773369404,0.596605208648,0.404665146352,0.509126695752,0.461799529396,0.505888761738,0.589914601758,0.527865298838,0.642411519054,0.547789032416,0.57798104995,0.68735798654285,0.50523993835485,0.64150941986685,0.656283581284,0.8754900807796,0.7581436002344,0.7157534010776,0.7900043260996,0.9677044199865,0.8492943825196,2.0109515959496,2.49995458032,2.13493153454,1.701954206612,1.75032784012,1.78896665928,1.87111074208,1.858535944992,1.93130460698,1.93597707149806
177,177,Power Industry,Sweden,12.9444753950601,9.2591352190594,9.63841247390244,7.93575082105194,9.46878062976561,5.57530383965906,8.21075645184188,8.42720330928383,8.92343889392252,10.4007072806875,9.26705937987917,6.6226755743936,6.80485637988884,6.79456506763896,8.99644311669648,12.567653287521,12.3820361119196,11.8647468939554,10.0137057556779,8.64342530724193,8.44199160470661,10.724520258551,9.95639258207367,10.256533504645,10.890523637793,10.1828940266085,14.759834143315,10.676470556933,11.4811497170606,10.1307718967103,8.21291880031679,9.25278514985742,10.7701800880134,11.7764288192593,10.8307085073914,9.6947995402358,9.76659939214635,8.44057344640275,8.45164613643656,8.61320700316058,11.4078095963296,8.76268486569438,7.84199037237993,7.85923351263004,6.8356767962683,6.70805133335129,7.65946341629816,7.66983794389813,7.94866963468618
259,259,Buildings,Denmark,25.1992347815,23.462040409024,23.277221636352,23.820366745486,20.532791794397,20.260223310406,22.7664516518,22.294912738113,21.7452495659,22.7661832521,19.1551852172,16.925392911506,13.1866738981,12.2479951383,12.01073742345,12.32296182049,11.7898465433,11.639384983895,10.1186279443,8.9954285643,8.976548186802,9.29696478901,8.57977686476,9.18668883250001,8.4388321061,8.469238072049,9.11754824522798,8.3723641349,8.056799047573,7.8571216969,7.2932275683,7.4227819005,7.137550704,7.1506949288,6.8835331773,6.793359569,6.664408539,6.2405484056,6.1364109971,6.0334874206,6.4355232212,5.6686674699,5.4115067589,5.3862844791,4.6234889208,4.8327454312,4.8907038571,4.6505002947,4.63561305484622
274,274,Buildings,Finland,13.4862385548,13.313021589988,13.427617956182,14.186492004386,11.661230664104,12.6271184591,12.7958253759,13.79155831198,14.26554475233,14.250876988204,12.9302004355102,11.4830150687098,10.5161166419,9.93260456481,8.1293693361998,8.548223094594,8.9750730271,9.57810658959,9.6174120133,8.94321783894899,9.27119453899999,9.17330031224899,9.2398073071,8.15348287332102,8.2381786779,8.33541303352798,8.31131939707499,7.9144064298,8.0957370489,7.1510701396,6.5159644106,7.225311932,7.0245800207,7.2669552132,6.6527728071,6.4051855621,6.19556206425,6.2330342839,5.57373626475,5.5550615391,5.96434609605,5.1119664871,5.43573049435,5.0249223335,4.9116604611,4.6933279588,4.86117780855,4.6974800072,4.74264893825463
294,294,Buildings,Iceland,0.8217253196,0.8124641389,0.8635544911,0.9058117944,0.905558868,0.9125899124,0.82927352,0.8555523881,0.8620978179,0.8200900352,0.7635850299,0.7430569232,0.691395537,0.6773092001,0.6224437135,0.5956411791,0.6405793492,0.6960069754,0.7327512514,0.7446804361,0.71929233965,0.74669916145,0.79729333025,0.83222897005,0.83831450485,0.82899434145,0.9094487234,0.8775414609,0.8401890418,0.8193570844,0.7684504961,0.6824428528,0.74293624755,0.78096433175,0.74988699185,0.73652258565,0.62080018685,0.63811136405,0.58794867045,0.67948384585,0.61002893465,0.58142136785,0.56573836365,0.6697584501,0.6321424451,0.6893584353,0.5802871781,0.5958510132,0.594686655968544
344,344,Buildings,Norway,7.581069683,7.123488830685,7.1168178274,6.701629672,5.11080345877202,4.7233943296,5.8741435023,6.02155575099502,5.91044768802798,6.319895478749,5.65432506697002,5.04730970017898,4.4724862245,4.0720765055,3.837436451,4.127062257998,4.3139610629,4.432205012498,4.0939906886,3.62992610907898,4.226666927427,4.252798037249,3.991681676,3.871735987375,4.0707161964,4.00989354162798,4.6753756202,4.3414518514,4.331799958325,4.3549377109,3.5868911335,4.0476177116,4.4556780804,4.5301047902,4.2474498797,3.8888982049,3.8604432645,3.5829525966,3.3294458461,3.7203832924,2.9203206608,2.3515912508,2.4424635076,2.1851746661,1.8367584399,1.8206312283,2.1080267192,2.4101890901,2.4751505702106
384,384,Buildings,Sweden,37.1290625217,35.5266638249,35.869990821462,35.720391612098,29.0129930876,33.4541191034,36.7453740668,35.0181389981,29.1272321586525,30.3510600452,27.0455683188528,26.4306346343773,22.1591479206,17.7934293749528,14.4623617537475,14.2721614537,15.3258346158525,13.8128110862472,12.9151838557,11.3688536926,11.0867455584,10.752388267,10.8939415952,10.2335134102,10.646712412,10.579847015,11.4101303531,10.4027733913,10.1043183168,9.562722649,7.8731291651,7.7916926684,7.6500153747,7.6623485532,6.0629032386,5.0842047573,3.6030117802,3.2873379682,2.9422109096,3.4160170799,3.758295174,3.3989410497,2.66576615585,2.20628168185,2.2959869671,1.9449315081,2.1845066192,2.0368360779,1.92708606533368
