,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
1743,Annex_I,OECD_Europe,FIN,Finland,2.A.3,Glass Production,fossil,20.3314,20.3221,20.3333,20.3546,20.371,20.3719,20.3536,20.3211,20.2832,20.2527,20.2381,20.2429,20.263,20.2897,20.3112,20.3192,20.3101,20.2876,20.2591,20.2352,20.223,17.5938,19.8198,17.5728,18.4884,18.9294,21.0588,15.2796,15.5232,20.2314,20.874,23.4402,21.9114,22.9992,20.3868,19.8786,20.6808,21.819,18.3498,9.2484,1.6968,1.9068,1.7598,2.14279,1.62413,1.23102,1.13786,1.05175,0.972161
1744,Annex_I,OECD_Europe,FIN,Finland,2.A.4,Other Process Uses of Carbonates,fossil,98.1136,98.1136,98.1136,98.1136,98.114,98.1136,98.114,98.1136,98.1145,98.1127,98.1163,98.1087,98.1238,98.0936,98.1541,98.0339,98.2753,97.7969,98.771,96.8732,126.5834,125.7462,115.9527,142.3607,186.4856,165.2835,179.1966,186.0514,192.4327,197.837,193.7552,207.1056,225.1035,204.8014,216.939,202.946,218.8831,238.6482,204.8729,181.3686,304.3024,334.7846,282.6622,275.722,263.7973,261.5298,254.8471,244.6689,240.2542
1745,Annex_I,OECD_Europe,FIN,Finland,2.B,Chemical Industry,fossil,477.432,503.5992,715.9216,733.5276,845.1202,673.2551,626.821,544.3421,624.1853,558.2175,465.4833,420.043,380.124,419.1323,445.714,457.33667,475.98167,466.957,475.631,469.2838,379.7597,443.0367,399.8067,365.929795,336.387524,406.705145,415.3684,333.9438,457.5782,466.2756,458.774,619.308,576.755,678.14,694.674,698.882,672.353,642.476,743.691,942.777,1330.321,1032.128,978.448,1088.399,1156.423,1090.303,1016.291,904.924,951.407
1746,Annex_I,OECD_Europe,FIN,Finland,2.C,Metal Industry,fossil,778.0661,682.43133,717.18417,854.68077,873.21131,561.24886,598.68748,651.5343731,591.8620856,717.656371,628.1896662,600.0837166,423.1752227,286.0660668,400.0761402,411.924796,408.170928,429.22497,459.02839,487.10679,477.68775,495.44434,528.43838,580.09173,637.95143,602.35221,593.64164,637.54864,654.01456,687.78276,706.46014,656.61768,680.4805,748.37481,757.2526,704.75444,745.1696,687.43071,675.97299,420.74685,506.34972,632.62862,608.77363,841.70711,878.24498,925.3963,958.05692,1033.79853,1009.51531
1747,Annex_I,OECD_Europe,FIN,Finland,2.D,Non-Energy Products from Fuels and Solvent Use,fossil,555.75489,551.92457,551.71063,556.46508,552.48803,549.03991,546.20043,547.82977,550.95861,564.46555,565.59489,559.7312,566.56818,561.73325,563.74884,565.08816,566.7519,571.97269,566.43329,567.47938,568.40799,509.06591,478.51613,437.89383,413.808057,385.282944,375.8268262,355.654596,357.837456,351.512036,345.428438,359.045128,320.943843,326.225643,325.360333,293.302709,290.3031934,297.3199852,268.7586322,240.9278052,239.4126172,232.7410242,225.5248812,236.70003,227.171304,234.02941,235.15731,235.14844,235.68061
1748,Annex_I,OECD_Europe,FIN,Finland,3.C.2,Liming,fossil,617.707,618.359,618.441,618.074,617.573,617.709,617.5,617.8,618.321,618.573,618.684,618.523,617.671,618.305,617.566,618.036,618.619,618.45,618.373,617.805,642.008,455.157,296.8787,472.14,472.492,409.669,477.255,490.958,451.605,452.816,350.0079,418.921,446.217,301.9025,275.9092,289.8548,320.6392,275.4601,325.0135,338.2648,277.4113,199.5373,201.6097,304.3821,222.2116,179.7497,265.5799,196.6528,210.2803
1749,Annex_I,OECD_Europe,FIN,Finland,3.C.3,Urea application,fossil,16.2013,17.4758,17.611,,,,,,,,10.5286,11.0,10.3714,7.85716,7.07143,,15.7143,27.3429,37.0858,38.5,15.0857,25.3,1.57143,,,,,1.57143,,1.57143,1.57143,1.57143,1.57143,1.57143,1.57143,1.57143,3.14286,3.14286,,1.57143,3.14286,,,,,,,,
1857,Annex_I,OECD_Europe,ISL,Iceland,1.A.1.a,Main Activity Electricity and Heat Production,fossil,28.3803,31.56659,34.75288,59.94689,56.83468,59.94689,44.1636,44.1636,37.86509,37.86509,31.56659,37.6683,15.5865,9.394498,6.282297,6.282297,6.282297,6.282297,3.186299,3.186299,3.186299,3.186299,3.186299,5.203699,5.203699,11.411898,8.299697,8.299697,23.779709,36.163679,5.753899,5.753899,6.395799,6.395799,6.395799,6.395799,6.395799,17.836497,10.247199,5.020299,4.836899,3.186299,3.186299,6.2985,6.2985,6.2985,6.2985,6.743101,6.729935
1858,Annex_I,OECD_Europe,ISL,Iceland,1.A.2,Manufacturing Industries and Construction,fossil,200.464,274.768,305.728,352.168,395.618,305.621,351.865,373.733,451.133,519.043,522.4316,426.057,406.7773,465.8509,583.8104,580.3469,585.1703,527.8876,562.4012,543.61,550.272,484.0689,470.0696,481.0794,556.718,520.0669,634.8726,641.5402,630.4918,581.0075,764.789,785.6443,824.3425,772.2536,846.9892,826.1716,749.9634,702.3072,614.3435,511.8209,493.823,471.3267,496.1721,545.9442,596.1947,520.1984,557.7535,572.3087,600.1248694
1859,Annex_I,OECD_Europe,ISL,Iceland,1.A.3.a,Civil Aviation,fossil,9.24,9.24,6.16,6.16,3.080006,3.080006,55.35207,52.28295,49.20295,98.395,67.64996,67.64996,52.272076,52.27746,55.346596,27.6815,27.6815,30.75599,30.75599,30.75599,33.83056,30.75599,27.6815,24.601506,21.527006,27.675996,30.75599,30.750566,33.83056,30.750566,27.675996,24.601506,21.527006,21.527006,21.527006,21.527006,27.675996,21.527006,27.675996,21.527006,21.527006,18.447,18.447,18.447,39.974016,21.527006,21.5215,22.42703,22.383284
